pakketnummer,gebied,item,soort,aantal_per_pakket,groep,volgorde
1.3,KOELING,Parade,CL Pink,1.0,Rozen 38CM:,7
1.3p,KOELING,Parade,CL Pink,1.0,Rozen 38CM:,7
1.32,KOELING,Parade,CL Pink,3.0,Rozen 38CM:,7
1.32p,KOELING,Parade,CL Pink,3.0,Rozen 38CM:,7
1.3,KOELING,Paul's Scarlet,CL Red,2.0,Rozen 38CM:,8
1.3p,KOELING,Paul's Scarlet,CL Red,2.0,Rozen 38CM:,8
1.30,KOELING,Paul's Scarlet,CL Red,3.0,Rozen 38CM:,8
1.30p,KOELING,Paul's Scarlet,CL Red,3.0,Rozen 38CM:,8
1.3,KOELING,Golden Rain,CL Yellow,1.0,Rozen 38CM:,9
1.3p,KOELING,Golden Rain,CL Yellow,1.0,Rozen 38CM:,9
1.31,KOELING,Golden Rain,CL Yellow,3.0,Rozen 38CM:,9
1.31p,KOELING,Golden Rain,CL Yellow,3.0,Rozen 38CM:,9
1.2,KOELING,Tom Tom,Pol Pink,2.0,Rozen 38CM:,10
1.2p,KOELING,Tom Tom,Pol Pink,2.0,Rozen 38CM:,10
1.5,KOELING,Tom Tom,Pol Pink,1.0,Rozen 38CM:,10
1.5p,KOELING,Tom Tom,Pol Pink,1.0,Rozen 38CM:,10
1.21,KOELING,Tom Tom,Pol Pink,3.0,Rozen 38CM:,10
1.21p,KOELING,Tom Tom,Pol Pink,3.0,Rozen 38CM:,10
1.2,KOELING,Mina,Pol Red,2.0,Rozen 38CM:,11
1.2p,KOELING,Mina,Pol Red,2.0,Rozen 38CM:,11
1.5,KOELING,Mina,Pol Red,1.0,Rozen 38CM:,11
1.5p,KOELING,Mina,Pol Red,1.0,Rozen 38CM:,11
1.20,KOELING,Mina,Pol Red,3.0,Rozen 38CM:,11
1.20p,KOELING,Mina,Pol Red,3.0,Rozen 38CM:,11
1.2,KOELING,Garden Princess,Pol Yellow,2.0,Rozen 38CM:,12
1.2p,KOELING,Garden Princess,Pol Yellow,2.0,Rozen 38CM:,12
1.5,KOELING,Garden Princess,Pol Yellow,1.0,Rozen 38CM:,12
1.5p,KOELING,Garden Princess,Pol Yellow,1.0,Rozen 38CM:,12
1.22,KOELING,Garden Princess,Pol Yellow,3.0,Rozen 38CM:,12
1.22p,KOELING,Garden Princess,Pol Yellow,3.0,Rozen 38CM:,12
1.1,KOELING,Kronenbourg,TH 2-color,1.0,Rozen 38CM:,13
1.1p,KOELING,Kronenbourg,TH 2-color,1.0,Rozen 38CM:,13
1.15,KOELING,Kronenbourg,TH 2-color,3.0,Rozen 38CM:,13
1.15p,KOELING,Kronenbourg,TH 2-color,3.0,Rozen 38CM:,13
1.1,KOELING,Joro,TH Orange,1.0,Rozen 38CM:,14
1.1p,KOELING,Joro,TH Orange,1.0,Rozen 38CM:,14
1.13,KOELING,Joro,TH Orange,3.0,Rozen 38CM:,14
1.13p,KOELING,Joro,TH Orange,3.0,Rozen 38CM:,14
1.1,KOELING,Queen of England,TH Pink,1.0,Rozen 38CM:,15
1.1p,KOELING,Queen of England,TH Pink,1.0,Rozen 38CM:,15
