pakketnummer,artikel,ean,prijs
1.1,Roses à grandes fleurs MIX x 6,8717032003863,29.4
1.2,Roses Polyantha x6,8717032003870,29.4
1.3,Roses grimpantes MIX x4,8717032003887,29.4
1.4,Roses à grandes fleurs x3,8717032006079,24.71
1.5,Roses Polyantha x3,8717032006086,24.71
1.10,Rose à grande fleur ROUGE x3,8717032007762,22.71
1.11,Rose à grande fleur BLANCHE x3,8717032007779,22.71
1.12,Rose à grande fleur ROSE x3,8717032007786,22.71
1.13,Rose à grande fleur ORANGE x3,8717032007793,22.71
1.14,Rose à grande fleur JAUNE/ROSE x3,8717032007809,22.71
1.15,Rose à grande fleur ROUGE/BLANCHE x3,8717032007816,22.71
1.20,Rose Polyantha ROUGE x3,8717032007823,22.71
1.21,Rose Polyantha ROSE x3,8717032007830,22.71
1.22,Rose Polyantha JAUNE x3,8717032007847,22.71
1.30,Rose grimpante ROUGE x3,8717032007854,24.71
1.31,Rose grimpante JAUNE x3,8717032007861,24.71
1.32,Rose grimpante ROSE x3,8717032007878,24.71
2.1,Mediterrane x 4,8717032004068,28.14
2.2,Mediterrane x 8,8717032004075,35.02
2.3,Olive set Petit x 4,8717032007090,28.27
2.4,Olive set Grand x 8,8717032007106,35.29
2.5,Citrus Mix x 4,8717032007113,28.43
2.6,Ficus set x 4,8717032007120,27.41
2.7,Olive & Ficus set x 8,8717032007137,34.43
2.8,Mediterrane set Petit x 6,8717032007144,31.03
2.9,Mediterrane set Grand x 12,8717032007151,40.72
3.1,Magnolia mix x 3,8717032004105,26.26
3.2,Magnolia mix x 6,8717032004112,30.97
3.3,Magnolia soulangeana x 3,8717032007885,26.26
3.4,Magnolia Susan x 3,8717032007892,26.26
3.5,Magnolia stellata x 3,8717032007908,26.26
3.6,Magnolia soulangeana x6,8717032009292,30.97
3.7,Magnolia Susan x6,8717032009308,30.97
3.8,Magnolia stellata x6,8717032009315,30.97
4.0,Clematis montana 'Rubens' x 3,8717032008943,25.46
4.1,Clematis montana 'Wilsonii' x 3,8717032008950,25.46
4.2,Clematis montana 'Mayleen' x 3,8717032008967,25.46
4.3,Clematis montana x 3,8717032008790,25.46
5.1,Mini rosiers tiges x 3 mix,8717032003900,30.14
5.2,Mini rosiers tiges x 5 mix,8717032003917,36.35
5.3,Mini rosiers tiges blanc x 3,8717032007915,30.14
5.4,Mini rosiers tiges rouge x 3,8717032007922,30.14
5.5,Mini rosiers tiges jaune x 3,8717032007939,30.14
5.6,Mini rosiers tiges rose x 3,8717032007946,30.14
5.7,Mini rosiers tiges 2 couleurs x 3,8717032007953,30.14
6.1,Camélia x3,8717032004082,22.1
6.2,Camélia x6,8717032004099,29.5
6.3,Camélia ROUGE x3,8717032007960,22.1
6.4,Camélia ROSE x3,8717032007977,22.1
6.5,Camélia BLANC x3,8717032007984,22.1
7.1,Myrtille x 4,8717032004006,27.37
7.2,Myrtille x 8,8717032004013,33.5
8.1,Hydrangea x 4,8717032004020,26.24
8.2,Hydrangea x 8,8717032004037,31.22
8.3,Hydrangea macrophylla Blauw x3,8717032007991,22.79
8.4,Hydrangea macrophylla Blauw x6,8717032008004,30.02
8.5,Hydrangea pan. 'Phantom' x3,8717032008011,22.79
8.6,Hydrangea pan. 'Phantom' x6,8717032008028,30.02
8.7,Hydrangea pan. 'Pink Diamond' x3,8717032008035,22.79
8.8,Hydrangea pan. 'Pink Diamond' x6,8717032008042,30.02
8.9,Hydrangea pan. 'Kyushu' x3,8717032008059,22.79
8.10,Hydrangea pan. 'Kyushu' x6,8717032008066,30.02
8.11,Hydrangea arb. 'Annabelle' x3,8717032008073,24.28
8.12,Hydrangea arb. 'Annabelle' x6,8717032008080,31.12
8.13,Hydrangea macrophylla Wit x 3,8717032009681,22.79
8.14,Hydrangea macrophylla Wit x 6,8717032009698,30.02
8.15,Hydrangea macrophylla Roze x 3,8717032009704,22.79
8.16,Hydrangea macrophylla Roze x 6,8717032009711,30.02
8.17,Hydrangea macrophylla Rood x 3,8717032009728,22.79
8.18,Hydrangea macrophylla Rood x 6,8717032009735,30.02
8.19,Hydrangea macrophylla mix x 4,8717032011110,25.9
8.20,Hydrangea macrophylla mix x 8,8717032011127,33.98
9.1,Herbe de la pampa x 4 (blanc+rose),8717032004327,24.17
9.2,Herbe de la pampa x 8 (blanc+rose),8717032004334,27.09
9.4,Herbe de la pampa x 6 (blanc + rose),8717032006178,25.5
9.5,Herbe de la pampa x 6 (blanc),8717032006192,25.5
9.6,Herbe de la pampa x 6 (rose),8717032006208,25.5
9.7,Herbe de la pampa x 3 (blanc),8717032006215,23.53
9.8,Herbe de la pampa x 3 (rose),8717032006222,23.53
