pakketnummer,pakketnaam,pokon,doosnummers
1.1,Grootbloemige rozen x 6,nee,14
1.1p,Grootbloemige rozen x 6,ja,2
1.10,Grootbloemige roos ROOD x3,nee,15
1.10p,Grootbloemige roos ROOD x3,ja,14 + 15
1.11,Grootbloemige roos WIT x3,nee,15
1.11p,Grootbloemige roos WIT x3,ja,14 + 15
1.12,Grootbloemige roos ROZE x3,nee,15
1.12p,Grootbloemige roos ROZE x3,ja,14 + 15
1.13,Grootbloemige roos ORANJE x3,nee,15
1.13p,Grootbloemige roos ORANJE x3,ja,14 + 15
1.14,Grootbloemige roos GEEL/ROZE x3,nee,15
1.14p,Grootbloemige roos GEEL/ROZE x3,ja,14 + 15
1.15,Grootbloemige roos ROOD/WIT x3,nee,15
1.15p,Grootbloemige roos ROOD/WIT x3,ja,14 + 15
1.2,Polyantha rozen x 6,nee,14
1.2p,Polyantha rozen x 6,ja,2
1.20,Polyantha roos ROOD x3,nee,15
1.20p,Polyantha roos ROOD x3,ja,14 + 15
1.21,Polyantha roos ROZE x3,nee,15
1.21p,Polyantha roos ROZE x3,ja,14 + 15
1.22,Polyantha roos GEEL x3,nee,15
1.22p,Polyantha roos GEEL x3,ja,14 + 15
1.3,Klimrozen x 4,nee,1
1.3p,Klimrozen x 4,ja,14
1.30,Klim roos ROOD x3,nee,15
1.30p,Klim roos ROOD x3,ja,14 + 15
1.31,Klim roos GEEL x3,nee,15
1.31p,Klim roos GEEL x3,ja,14 + 15
1.32,Klim roos ROZE x3,nee,15
1.32p,Klim roos ROZE x3,ja,14 + 15
1.4,Grootbloemige rozen x 3,nee,15
1.4p,Grootbloemige rozen x 3,ja,14 + 15
1.5,Polyantha rozen x 3,nee,15
1.5p,Polyantha rozen x 3,ja,14 + 15
2.1,Mediterrane x 4,nee,1
2.1p,Mediterrane x 4,ja,14
2.2,Mediterrane x 8,nee,2
2.2p,Mediterrane x 8,ja,12
2.3,Olive set Small amount x4,nee,1
2.3p,Olive set Small amount x4,ja,14
2.4,Olive set Large amount x8,nee,2
2.4p,Olive set Large amount x8,ja,12
2.5,Citrus Mix x4,nee,1
2.5p,Citrus Mix x4,ja,14
2.6,Ficus set x4,nee,1
2.6p,Ficus set x4,ja,14
2.7,Olive & Ficus set x8,nee,2
2.7p,Olive & Ficus set x8,ja,12
2.8,Mediterrane set small x6,nee,14
2.8p,Mediterrane set small x6,ja,2
2.9,Mediterrane set large x12,nee,12
2.9p,Mediterrane set large x12,ja,4
3.1,Magnolia x 3,nee,15
3.1p,Magnolia x 3,ja,14 + 15
3.2,Magnolia x 6,nee,14
3.2p,Magnolia x 6,ja,2
3.3,Magnolia soulangeana x3,nee,15
3.3p,Magnolia soulangeana x3,ja,14 + 15
3.4,Magnolia Susan x3,nee,15
3.4p,Magnolia Susan x3,ja,14 + 15
3.5,Magnolia stellata x3,nee,15
3.5p,Magnolia stellata x3,ja,14 + 15
3.6,Magnolia soulangeana x6,nee,14
