ordernummer,datum,kanaal,pakketnummer,aantal
migratie-Amazon-2026-07-01-71.4,2026-07-01,Amazon,71.4,1.0
migratie-Amazon-2026-07-01-249.2,2026-07-01,Amazon,249.2,3.0
migratie-Amazon-2026-07-01-249.3,2026-07-01,Amazon,249.3,1.0
migratie-Amazon-2026-07-01-250.1,2026-07-01,Amazon,250.1,1.0
migratie-Amazon-2026-07-01-280.1,2026-07-01,Amazon,280.1,1.0
migratie-Amazon-2026-07-01-280.2,2026-07-01,Amazon,280.2,1.0
migratie-Amazon-2026-07-02-71.4,2026-07-02,Amazon,71.4,1.0
migratie-Amazon-2026-07-02-249.2,2026-07-02,Amazon,249.2,1.0
migratie-Amazon-2026-07-02-249.3,2026-07-02,Amazon,249.3,3.0
migratie-Amazon-2026-07-02-280.1,2026-07-02,Amazon,280.1,1.0
migratie-Amazon-2026-07-03-249.3,2026-07-03,Amazon,249.3,3.0
migratie-Amazon-2026-07-03-280.1,2026-07-03,Amazon,280.1,3.0
migratie-Amazon-2026-07-06-50.2,2026-07-06,Amazon,50.2,1.0
migratie-Amazon-2026-07-06-70.3,2026-07-06,Amazon,70.3,1.0
migratie-Amazon-2026-07-06-209.4,2026-07-06,Amazon,209.4,1.0
migratie-Amazon-2026-07-06-249.2,2026-07-06,Amazon,249.2,7.0
migratie-Amazon-2026-07-06-249.3,2026-07-06,Amazon,249.3,8.0
migratie-Amazon-2026-07-06-249.4,2026-07-06,Amazon,249.4,1.0
migratie-Amazon-2026-07-06-280.1,2026-07-06,Amazon,280.1,5.0
migratie-Amazon-2026-07-07-249.3,2026-07-07,Amazon,249.3,2.0
migratie-Amazon-2026-07-07-255.1,2026-07-07,Amazon,255.1,1.0
migratie-Amazon-2026-07-07-279.3,2026-07-07,Amazon,279.3,2.0
migratie-Amazon-2026-07-08-161.1,2026-07-08,Amazon,161.1,1.0
migratie-Amazon-2026-07-08-249.2,2026-07-08,Amazon,249.2,3.0
migratie-Amazon-2026-07-08-249.4,2026-07-08,Amazon,249.4,1.0
migratie-Amazon-2026-07-08-258.2,2026-07-08,Amazon,258.2,4.0
migratie-Amazon-2026-07-08-279.2,2026-07-08,Amazon,279.2,1.0
migratie-Amazon-2026-07-08-280.1,2026-07-08,Amazon,280.1,3.0
migratie-Amazon-2026-07-09-249.2,2026-07-09,Amazon,249.2,3.0
migratie-Amazon-2026-07-09-249.3,2026-07-09,Amazon,249.3,3.0
migratie-Amazon-2026-07-09-249.4,2026-07-09,Amazon,249.4,1.0
migratie-Amazon-2026-07-09-279.3,2026-07-09,Amazon,279.3,1.0
migratie-Amazon-2026-07-10-70.7,2026-07-10,Amazon,70.7,1.0
migratie-Amazon-2026-07-10-70.12,2026-07-10,Amazon,70.12,1.0
migratie-Amazon-2026-07-10-249.3,2026-07-10,Amazon,249.3,3.0
migratie-Amazon-2026-07-10-279.3,2026-07-10,Amazon,279.3,2.0
migratie-Amazon-2026-07-10-280.1,2026-07-10,Amazon,280.1,3.0
migratie-Amazon-2026-07-10-280.2,2026-07-10,Amazon,280.2,3.0
migratie-Amazon-2026-07-13-50.2,2026-07-13,Amazon,50.2,1.0
migratie-Amazon-2026-07-13-161.0,2026-07-13,Amazon,161.0,1.0
migratie-Amazon-2026-07-13-161.1,2026-07-13,Amazon,161.1,1.0
migratie-Amazon-2026-07-13-249.2,2026-07-13,Amazon,249.2,6.0
migratie-Amazon-2026-07-13-249.3,2026-07-13,Amazon,249.3,15.0
migratie-Amazon-2026-07-13-249.4,2026-07-13,Amazon,249.4,6.0
migratie-Amazon-2026-07-13-263.2,2026-07-13,Amazon,263.2,2.0
migratie-Amazon-2026-07-13-279.2,2026-07-13,Amazon,279.2,1.0
migratie-Amazon-2026-07-13-280.1,2026-07-13,Amazon,280.1,9.0
migratie-Amazon-2026-07-13-280.2,2026-07-13,Amazon,280.2,1.0
migratie-Amazon-2026-07-14-50.1,2026-07-14,Amazon,50.1,2.0
migratie-Amazon-2026-07-14-71.2,2026-07-14,Amazon,71.2,1.0
migratie-Amazon-2026-07-14-141.3,2026-07-14,Amazon,141.3,1.0
migratie-Amazon-2026-07-14-249.2,2026-07-14,Amazon,249.2,1.0
migratie-Amazon-2026-07-14-249.3,2026-07-14,Amazon,249.3,5.0
